id,state,period,price
"560","AR","200505","8.01"
"561","AR","200504","7.79"
"562","AR","200503","7.23"
"563","AR","200502","6.86"
"564","AR","200501","6.65"
"565","AR","200412","6.98"
"566","AR","200411","7.46"
"567","AR","200410","7.09"
"568","AR","200409","7.79"
"569","AR","200408","7.96"
"570","AR","200407","7.87"
"571","AR","200406","8.0"
"572","AR","200405","7.64"
"573","AR","200404","7.43"
"574","AR","200403","6.86"
"575","AR","200402","6.5"
"576","AR","200401","6.51"
"577","AR","200312","6.55"
"578","AR","200311","6.98"
"579","AR","200310","7.02"
"580","AR","200309","7.46"
"581","AR","200308","7.84"
"582","AR","200307","7.84"
"583","AR","200306","8.12"
"584","AR","200305","7.51"
"585","AR","200304","7.28"
"586","AR","200303","7.0"
"587","AR","200302","6.54"
"588","AR","200301","6.44"
"589","AR","200212","6.69"
"590","AR","200211","7.08"
"591","AR","200210","6.87"
"592","AR","200209","7.59"
"593","AR","200208","7.5"
"594","AR","200207","7.72"
"595","AR","200206","7.8"
"596","AR","200205","7.41"
"597","AR","200204","7.14"
"598","AR","200203","7.0"
"599","AR","200202","7.03"
"600","AR","200201","6.8"
"601","AR","200112","7.4"
"602","AR","200111","7.5"
"603","AR","200110","7.49"
"604","AR","200109","8.07"
"605","AR","200108","8.11"
"606","AR","200107","8.06"
"607","AR","200106","8.3"
"608","AR","200105","8.0"
"609","AR","200104","8.0"
"610","AR","200103","7.42"
"611","AR","200102","7.11"
"612","AR","200101","6.88"
"613","CA","201309","17.09"
"614","CA","201308","16.54"
"615","CA","201307","16.71"
"616","CA","201306","17.5"
"617","CA","201305","16.04"
"618","CA","201304","15.5"
"619","CA","201303","15.34"
"620","CA","201302","15.4"
"621","CA","201301","16.4"
"622","CA","201212","15.49"
"623","CA","201211","14.88"
"624","CA","201210","14.22"
"625","CA","201209","16.82"
"626","CA","201208","16.46"
"627","CA","201207","15.22"
"628","CA","201206","15.93"
"629","CA","201205","15.02"
"630","CA","201204","14.66"
"631","CA","201203","14.69"
"632","CA","201202","14.57"
"633","CA","201201","15.29"
"634","CA","201112","14.78"
"635","CA","201111","14.87"
"636","CA","201110","14.16"
"637","CA","201109","14.8"
"638","CA","201108","15.15"
"639","CA","201107","15.7"
"640","CA","201106","14.81"
"641","CA","201105","14.62"
"642","CA","201104","14.12"
"643","CA","201103","14.27"
"644","CA","201102","14.38"
"645","CA","201101","15.24"
"646","CA","201012","14.96"
"647","CA","201011","14.67"
"648","CA","201010","14.11"
"649","CA","201009","14.84"
"650","CA","201008","15.19"
"651","CA","201007","15.02"
"652","CA","201006","15.0"
"653","CA","201005","14.91"
"654","CA","201004","13.91"
"655","CA","201003","14.78"
"656","CA","201002","14.21"
"657","CA","201001","15.18"
"658","CA","200912","14.7"
"659","CA","200911","14.3"
"660","CA","200910","13.8"
"661","CA","200909","15.45"
"662","CA","200908","15.85"
"663","CA","200907","15.6"
"664","CA","200906","14.72"
"665","CA","200905","14.94"
"666","CA","200904","13.93"
"667","CA","200903","14.1"
"668","CA","200902","14.1"
"669","CA","200901","14.66"
"670","CA","200812","13.76"
"671","CA","200811","14.17"
"672","CA","200810","13.09"
"673","CA","200809","14.01"
"674","CA","200808","14.51"
"675","CA","200807","14.38"
"676","CA","200806","14.46"
"677","CA","200805","13.55"
"678","CA","200804","12.94"
"679","CA","200803","13.18"
"680","CA","200802","13.39"
"681","CA","200801","13.78"
"682","CA","200712","14.46"
"683","CA","200711","14.37"
"684","CA","200710","12.53"
"685","CA","200709","15.1"
"686","CA","200708","15.11"
"687","CA","200707","15.13"
"688","CA","200706","14.72"
"689","CA","200705","14.15"
"690","CA","200704","13.74"
"691","CA","200703","13.82"
"692","CA","200702","14.18"
"693","CA","200701","14.98"
"694","CA","200612","14.47"
"695","CA","200611","14.47"
"696","CA","200610","12.2"
"697","CA","200609","14.57"
"698","CA","200608","14.89"
"699","CA","200607","16.65"
"700","CA","200606","15.17"
"701","CA","200605","14.04"
"702","CA","200604","13.99"
"703","CA","200603","13.72"
"704","CA","200602","13.45"
"705","CA","200601","13.14"
"706","CA","200512","12.91"
"707","CA","200511","12.8"
"708","CA","200510","11.3"
"709","CA","200509","12.14"
"710","CA","200508","13.43"
"711","CA","200507","13.16"
"712","CA","200506","13.4"
"713","CA","200505","12.57"
"714","CA","200504","12.12"
"715","CA","200503","11.28"
"716","CA","200502","12.33"
"717","CA","200501","12.19"
"718","CA","200412","12.4"
"719","CA","200411","12.5"
"720","CA","200410","11.43"
"721","CA","200409","12.18"
"722","CA","200408","12.5"
"723","CA","200407","12.19"
"724","CA","200406","12.4"
"725","CA","200405","11.97"
"726","CA","200404","11.43"
"727","CA","200403","12.14"
"728","CA","200402","12.39"
"729","CA","200401","12.59"
"730","CA","200312","12.45"
"731","CA","200311","12.54"
"732","CA","200310","10.47"
"733","CA","200309","10.08"
"734","CA","200308","12.9"
"735","CA","200307","13.5"
"736","CA","200306","13.12"
"737","CA","200305","12.74"
"738","CA","200304","12.51"
"739","CA","200303","11.42"
"740","CA","200302","12.41"
"741","CA","200301","12.81"
"742","CA","200212","13.31"
"743","CA","200211","12.55"
"744","CA","200210","11.98"
"745","CA","200209","11.61"
"746","CA","200208","12.92"
"747","CA","200207","13.28"
"748","CA","200206","12.87"
"749","CA","200205","12.82"
"750","CA","200204","12.05"
"751","CA","200203","12.58"
"752","CA","200202","12.58"
"753","CA","200201","13.03"
"754","CA","200112","12.26"
"755","CA","200111","12.12"
"756","CA","200110","12.49"
"757","CA","200109","12.87"
"758","CA","200108","12.8"
"759","CA","200107","13.05"
"760","CA","200106","12.87"
"761","CA","200105","11.97"
"762","CA","200104","11.14"
"763","CA","200103","11.29"
"764","CA","200102","11.14"
"765","CA","200101","10.89"
"766","CO","201309","12.52"
"767","CO","201308","12.57"
"768","CO","201307","12.81"
"769","CO","201306","12.42"
"770","CO","201305","11.6"
"771","CO","201304","11.58"
"772","CO","201303","11.37"
"773","CO","201302","11.28"
"774","CO","201301","11.06"
"775","CO","201212","11.07"
"776","CO","201211","11.38"
"777","CO","201210","11.33"
"778","CO","201209","12.11"
"779","CO","201208","12.15"
"780","CO","201207","12.32"
"781","CO","201206","12.01"
"782","CO","201205","11.27"
"783","CO","201204","11.04"
"784","CO","201203","10.84"
"785","CO","201202","10.76"
"786","CO","201201","10.61"
"787","CO","201112","10.77"
"788","CO","201111","11.01"
"789","CO","201110","11.04"
"790","CO","201109","11.98"
"791","CO","201108","12.16"
"792","CO","201107","12.16"
"793","CO","201106","11.95"
"794","CO","201105","11.15"
"795","CO","201104","11.1"
"796","CO","201103","10.58"
"797","CO","201102","10.47"
"798","CO","201101","10.37"
"799","CO","201012","10.26"
"800","CO","201011","10.39"
"801","CO","201010","10.53"
"802","CO","201009","11.66"
"803","CO","201008","11.7"
"804","CO","201007","11.7"
"805","CO","201006","11.89"
"806","CO","201005","11.48"
"807","CO","201004","11.19"
"808","CO","201003","10.57"
"809","CO","201002","10.56"
"810","CO","201001","10.29"
"811","CO","200912","10.19"
"812","CO","200911","10.39"
"813","CO","200910","10.51"
"814","CO","200909","10.67"
"815","CO","200908","10.41"
"816","CO","200907","10.38"
"817","CO","200906","9.94"
"818","CO","200905","9.68"
"819","CO","200904","9.54"
"820","CO","200903","9.37"
"821","CO","200902","9.44"
"822","CO","200901","9.21"
"823","CO","200812","9.45"
"824","CO","200811","9.97"
"825","CO","200810","10.32"
"826","CO","200809","11.06"
"827","CO","200808","11.09"
"828","CO","200807","10.94"
"829","CO","200806","10.54"
"830","CO","200805","10.41"
"831","CO","200804","10.13"
"832","CO","200803","9.38"
"833","CO","200802","9.26"
"834","CO","200801","8.97"
"835","CO","200712","9.01"
"836","CO","200711","9.35"
"837","CO","200710","9.34"
"838","CO","200709","9.17"
"839","CO","200708","8.97"
"840","CO","200707","9.09"
"841","CO","200706","9.72"
"842","CO","200705","9.62"
"843","CO","200704","9.46"
"844","CO","200703","9.43"
"845","CO","200702","9.22"
"846","CO","200701","8.98"
"847","CO","200612","8.45"
"848","CO","200611","8.68"
"849","CO","200610","8.93"
"850","CO","200609","9.07"
"851","CO","200608","9.29"
"852","CO","200607","9.14"
"853","CO","200606","8.76"
"854","CO","200605","8.98"
"855","CO","200604","9.2"
"856","CO","200603","9.47"
"857","CO","200602","9.23"
"858","CO","200601","9.05"
"859","CO","200512","9.62"
"860","CO","200511","9.76"
"861","CO","200510","9.11"
"862","CO","200509","9.08"
"863","CO","200508","8.97"
"864","CO","200507","9.01"
"865","CO","200506","9.11"
"866","CO","200505","9.14"
"867","CO","200504","8.81"
"868","CO","200503","8.8"
"869","CO","200502","8.73"
"870","CO","200501","8.64"
"871","CO","200412","7.74"
"872","CO","200411","8.59"
"873","CO","200410","8.85"
"874","CO","200409","8.74"
"875","CO","200408","8.61"
"876","CO","200407","8.56"
"877","CO","200406","8.67"
"878","CO","200405","8.65"
"879","CO","200404","8.4"
"880","CO","200403","8.23"
"881","CO","200402","8.08"
"882","CO","200401","7.98"
"883","CO","200312","8.02"
"884","CO","200311","8.18"
"885","CO","200310","8.6"
"886","CO","200309","8.3"
"887","CO","200308","8.17"
"888","CO","200307","8.34"
"889","CO","200306","8.5"
"890","CO","200305","8.61"
"891","CO","200304","8.0"
"892","CO","200303","7.75"
"893","CO","200302","7.78"
"894","CO","200301","7.53"
"895","CO","200212","7.14"
"896","CO","200211","7.38"
"897","CO","200210","7.91"
"898","CO","200209","7.73"
"899","CO","200208","7.54"
"900","CO","200207","7.38"
"901","CO","200206","7.74"
"902","CO","200205","7.83"
"903","CO","200204","7.2"
"904","CO","200203","6.95"
"905","CO","200202","6.93"
"906","CO","200201","6.84"
"907","CO","200112","7.63"
"908","CO","200111","7.11"
"909","CO","200110","7.74"
"910","CO","200109","8.13"
"911","CO","200108","7.45"
"912","CO","200107","7.31"
"913","CO","200106","8.18"
"914","CO","200105","7.84"
"915","CO","200104","7.46"
"916","CO","200103","7.03"
"917","CO","200102","7.15"
"918","CO","200101","6.71"
"919","CT","201309","17.94"
"920","CT","201308","17.57"
"921","CT","201307","17.31"
"922","CT","201306","17.77"
"923","CT","201305","18.1"
"924","CT","201304","17.4"
"925","CT","201303","17.22"
"926","CT","201302","16.97"
"927","CT","201301","17.05"
"928","CT","201212","17.06"
"929","CT","201211","17.82"
"930","CT","201210","18.08"
"931","CT","201209","17.24"
"932","CT","201208","17.12"
"933","CT","201207","17.08"
"934","CT","201206","17.3"
"935","CT","201205","17.71"
