id,airline_id,source_id,destination_id,codeshare,stops,iata
221,897,2430,4140,f,0,320
222,897,2430,2397,f,0,320
223,897,3304,2397,f,0,320
224,897,4202,2397,f,0,DH4
225,897,4203,2397,f,0,320
226,897,6025,2397,f,0,DH3
227,897,2397,2423,f,0,320
228,897,2397,2399,f,0,320
229,897,2397,4206,f,0,320
230,897,2397,2400,f,0,320
231,897,2397,6024,f,0,DH4
232,897,2397,6023,f,0,DH4
233,897,2397,4090,f,0,320
234,897,2397,6011,f,0,320
235,897,2397,2429,f,0,320
236,897,2397,2430,f,0,320
237,897,2397,3304,f,0,320
238,897,2397,4202,f,0,DH4
239,897,2397,4203,f,0,320
240,897,2397,6025,f,0,DH3
241,897,2397,4002,f,0,DH3
242,897,2397,4204,f,0,320
243,897,2397,2433,f,0,320
244,897,2397,3316,f,0,320
245,897,2397,2435,f,0,DH3
246,897,2397,6016,f,0,DH4
247,897,2397,2422,f,0,320
248,897,2397,3994,f,0,320
249,897,2397,6021,f,0,DH4 320
250,897,2397,4199,f,0,DH4
251,897,2397,6018,f,0,DH4
252,897,2397,2404,f,0,320
253,897,4002,4206,f,0,DH3
254,897,4002,2397,f,0,DH3
255,897,4204,4206,f,0,DH4
256,897,4204,2397,f,0,320
257,897,2401,4206,f,0,DH4
258,897,2433,4206,f,0,320
259,897,2433,4140,f,0,320
260,897,2433,2397,f,0,320
261,897,2433,4199,f,0,DH4
262,897,3316,2397,f,0,320
263,897,2435,2397,f,0,DH3
264,897,6016,4206,f,0,DH4
265,897,6016,2397,f,0,DH4
266,897,2422,4206,f,0,DH4
267,897,2422,2397,f,0,320
268,897,3994,2397,f,0,320
269,897,6021,2397,f,0,DH4 320
270,897,,2404,f,0,DH4
271,897,4199,2397,f,0,DH4
272,897,4199,2433,f,0,DH4
273,897,6018,2397,f,0,DH4
274,897,2404,4206,f,0,DH4
275,897,2404,4090,f,0,DH4
276,897,2404,6013,f,0,DH4
277,897,2404,2397,f,0,320
278,897,2404,,f,0,DH4
279,10739,5726,3830,f,0,CNC
280,10739,5726,3678,f,0,CNC
281,10739,4042,3830,f,0,CNC
282,10739,4042,3678,f,0,CNC
283,10739,3591,3678,f,0,CNC
284,10739,3830,5726,f,0,CNC
285,10739,3830,4042,f,0,CNC
286,10739,3678,5726,f,0,CNC
287,10739,3678,4042,f,0,CNC
288,10739,3678,3591,f,0,CNC
289,16262,7144,7145,f,0,DHP
290,16262,7144,3808,f,0,DHP
291,16262,7145,7144,f,0,DHP
292,16262,7145,7147,f,0,DHP
293,16262,7145,3808,f,0,DHP
294,16262,7147,7145,f,0,DHP
295,16262,7147,3808,f,0,DHP
296,16262,3808,7144,f,0,DHP
297,16262,3808,7145,f,0,DHP
298,16262,3808,7147,f,0,DHP
299,16262,3808,7146,f,0,DHP
300,16262,7146,3808,f,0,DHP
301,,5506,5504,f,0,DH8
302,,5506,6727,f,0,DH8
303,,5512,154,f,0,DHT BET
304,,62,5496,f,0,DHT
