id,name,alias,IATA,ICAO,callsign,country,active
1331,Air Division of the Eastern Kazakhstan Region,,  ,UCK,GALETA,Kazakhstan,f
1332,Aero-Charter Ukraine,,DW,UCR,CHARTER UKRAINE,Ukraine,f
1333,Air LA,,  ,UED,AIR L-A,United States,f
1334,Air Ukraine,,6U,UKR,AIR UKRAINE,Ukraine,f
1425,Bellesavia,,  ,BLC,BELLESAVIA,Belarus,f
1426,Blue Line,,  ,BLE,BLUE BERRY,France,f
1428,Belgavia,,  ,BLG,BELGAVIA,Belgium,f
1429,Blue Horizon Travel Club,,  ,BLH,BLUE HORIZON,United States,f
1430,Blue Jet,,  ,BLJ,BLUEWAY,Spain,f
1432,Blue Airways,,  ,BLM,BLUE ARMENIA,Armenia,f
1433,Bali International Air Service,,  ,BLN,BIAR,Indonesia,f
1435,Baltic Aviation,,  ,BLT,BALTAIR,United States,f
1438,British Medical Charter,,  ,BMD,BRITISH MEDICAL,United Kingdom,f
1439,Briggs Marine Environmental Services,,  ,BME,BRIGGS,United Kingdom,f
1440,Bristow Masayu Helicopters,,  ,BMH,MASAYU,Indonesia,f
1443,Bismillah Airlines,,5Z,BML,BISMILLAH,Bangladesh,f
1444,Bowman Aviation,,  ,BMN,BOWMAN,United States,f
1446,BMW,,  ,BMW,BMW-FLIGHT,Germany,f
1522,Bizair Fluggesellschaft,,  ,BZA,BERLIN BEAR,Germany,f
1524,Butane Buzzard Aviation Corporation,,  ,BZZ,BUZZARD,United Kingdom,f
1525,Business Flight Salzburg,,  ,AUJ,AUSTROJET,Austria,f
1526,BKS Air (Rivaflecha),,  ,CKM,COSMOS,Spain,f
1527,Bristol Flying Centre,,  ,CLF,CLIFTON,United Kingdom,f
1528,Barnes Olsen Aeroleasing,,  ,CLN,SEELINE,United Kingdom,f
1529,Baltimore Air Transport,,  ,CPJ,CORPJET,United States,f
1622,Canadian National Telecommunications,,  ,XNC,"",Canada,f
1624,Canadian Regional Airlines,,  ,CDR,CANADIAN REGIONAL,Canada,f
1625,Canadian Warplane Heritage Museum,,  ,CWH,WARPLANE HERITAGE,Canada,f
1626,Canadian Western Airlines,,W2,CWA,CANADIAN WESTERN,Canada,f
1627,Canair,,  ,CWW,CANAIR,China,f
1628,Cancun Air,,  ,CUI,CAN-AIR,Mexico,f
1630,Cape Air Transport,,  ,CTO,"",Australia,f
1631,Cape Central Airways,,  ,SEM,SEMO,United States,f
1718,Cetraca Aviation Service,,  ,CER,CETRACA,Democratic Republic of the Congo,f
1719,Chabahar Airlines,,  ,IRU,CHABAHAR,Iran,f
1720,Chalair Aviation,,  ,CLG,CHALLAIR,France,f
1721,Chalk's Ocean Airways,,OP,CHK,CHALKS,United States,f
1722,Challenge Air Transport,,  ,CLS,AIRISTO,Germany,f
1723,Challenge Aviation,,  ,CHS,CHALLENGE AVIATION,Australia,f
1724,Challenge International Airlines,,  ,OFF,CHALLENGE AIR,United States,f
1725,AC Challenge Aero,,  ,CHG,SKY CHALLENGER,Ukraine,f
1726,Champagne Airlines,,  ,CPH,CHAMPAGNE,France,f
1727,Champion Air,,MG,CCP,CHAMPION AIR,United States,f
1728,Chanchangi Airlines,,  ,NCH,CHANCHANGI,Nigeria,f
1815,Coastal Air Transport,,  ,TCL,TRANS COASTAL,United States,f
1816,Coastal Airways,,  ,CNG,SID-AIR,United States,f
1817,Coastal Travels,,  ,CSV,COASTAL TRAVEL,Tanzania,f
1818,Cohlmia Aviation,,  ,CHL,COHLMIA,United States,f
1819,Colaereos,,  ,OLR,COLAEREOS,Ecuador,f
1820,Colemill Enterprises,,  ,CLE,COLEMILL,United States,f
1822,Colibri Aviation,,  ,CAE,HUMMINGBIRD,Canada,f
1823,Colt International,,  ,CCX,"",United States,f
1824,Columbia Airlines,,  ,COL,COLAIR,Canada,f
1825,Columbia Helicopters,,  ,WCO,COLUMBIA HELI,United States,f
1826,Columbus Air Transport,,  ,KLR,KAY-LER,United States,f
1827,Colvin Aviation,,  ,GHP,GRASSHOPPER EX,United States,f
1830,Comed Group,,  ,CDE,COMEX,United Kingdom,f
1831,Comeravia,,  ,CVV,COMERAVIA,Venezuela,f
1832,Comercial Aerea,,  ,CRS,COMERCIAL AEREA,Mexico,f
1910,Cosmic Air,,F5,COZ,COSMIC AIR,Nepal,f
1911,Cougar Helicopters,,  ,CHI,COUGAR,Canada,f
1912,Coulson Flying Service,,  ,MGB,MOCKINGBIRD,United Kingdom,f
1913,Country Connection Airlines,,  ,NSW,"",Australia,f
1914,Country International Airlines,,  ,CIK,COUNTRY AIR,Kyrgyzstan,f
1915,Courier Services,,  ,CSD,DELIVERY,United States,f
1916,Court Helicopters,,  ,CUT,COURT AIR,South Africa,f
1917,Coval Air,,  ,CVL,COVAL,Canada,f
1918,Cowi,,  ,COW,COWI,Netherlands,f
1919,Coyne Aviation,,  ,COY,COYNE AIR,United Kingdom,f
1920,Cranfield University,,  ,CFD,AERONAUT,United Kingdom,f
2010,Delta Engineering Aviation,,  ,KMB,KEMBLEJET,United Kingdom,f
2011,Delta Express International,,  ,DLI,DELTA EXPRESS,Ukraine,f
2012,Delta State University,,  ,DSU,DELTA STATE,United States,f
2014,Denver Express,,  ,FEC,FALCON EXPRESS,United States,f
2015,Denver Jet,,  ,DJT,DENVER JET,United States,f
2016,Departmento De Agricultura De La Generalitat De Cataluna,,  ,FGC,FORESTALES,Spain,f
2017,Deraya Air Taxi,,  ,DRY,DERAYA,Indonesia,f
2018,Des R Cargo Express,,  ,DRX,"",Mauritania,f
2019,Desarrollo Milaz,,  ,MIZ,MILAZ,Mexico,f
2020,Destiny Air Services,,  ,DTY,DESTINY,Sierra Leone,f
2022,Deutsche Rettungsflugwacht,,1I,AMB,CIVIL AIR AMBULANCE,Germany,f
2108,East Coast Airways,,  ,ECT,EASTWAY,South Africa,f
2109,East Coast Jets,,  ,ECJ,EASTCOAST JET,United States,f
2110,East Hampton Aire,,  ,EHA,AIRE HAMPTON,United States,f
2111,East Kansas City Aviation,,  ,EKC,BLUE GOOSE,United States,f
2112,East Midlands Helicopters,,  ,CTK,COSTOCK,United Kingdom,f
2113,East Star Airlines,,  ,DXH,EAST STAR,China,f
2114,East-West Airlines,,  ,EWA,EASTWEST,Australia,f
2206,Equaflight Service,,  ,EKA,EQUAFLIGHT,Republic of the Congo,f
2207,Equatair Air Services (Zambia),,  ,EQZ,ZAMBIA CARGO,Zambia,f
2208,Equatorial Airlines,,  ,EQT,"",Equatorial Guinea,f
2209,Era Helicopters,,  ,ERH,ERAH,United States,f
2210,Eram Air,,  ,IRY,ERAM AIR,Iran,f
2211,Erfoto,,  ,ERF,ERFOTO,Portugal,f
2212,Erie Airways,,  ,ERE,AIR ERIE,United States,f
2214,Escuela De Pilotos Are Aviacion,,  ,CTV,ARE AVIACION,Spain,f
2215,Espace Aviation Services,,  ,EPC,ESPACE,Democratic Republic of the Congo,f
2216,Esso Resources Canada,,  ,ERC,ESSO,Canada,f
